country,iso3c,region,date,confirmed,deaths,recovered,negative_cases,pcr_positivo,prueba_rapida_positivo,pcr_prapida_positivo,
Peru,PER,,06/03/2020,1,,,154,,,,
Peru,PER,,07/03/2020,6,,,213,,,,
Peru,PER,,09/03/2020,9,,,309,,,,
Peru,PER,,10/03/2020,11,,,335,,,,
Peru,PER,,11/03/2020,17,,,697,,,,
Peru,PER,,12/03/2020,22,,,883,,,,
Peru,PER,Arequipa,13/03/2020,2,,,,,,,
Peru,PER,Cusco,13/03/2020,1,,,,,,,
Peru,PER,Huanuco,13/03/2020,2,,,,,,,
Peru,PER,Ica,13/03/2020,1,,,,,,,
Peru,PER,Lima,13/03/2020,32,,,,,,,
Peru,PER,,13/03/2020,38,,,1194,,,,
Peru,PER,Arequipa,14/03/2020,2,,,,,,,
Peru,PER,Cusco,14/03/2020,1,,,,,,,
Peru,PER,Huanuco,14/03/2020,2,,,,,,,
Peru,PER,Ica,14/03/2020,1,,,,,,,
Peru,PER,Lima,14/03/2020,37,,,,,,,
Peru,PER,,14/03/2020,43,,,1502,,,,
Peru,PER,Ancash,15/03/2020,1,,,,,,,
Peru,PER,Arequipa,15/03/2020,2,,,,,,,
Peru,PER,Callao,15/03/2020,2,,,,,,,
Peru,PER,Cusco,15/03/2020,1,,,,,,,
Peru,PER,Huanuco,15/03/2020,2,,,,,,,
Peru,PER,Ica,15/03/2020,1,,,,,,,
Peru,PER,La Libertad,15/03/2020,1,,,,,,,
Peru,PER,Lambayeque,15/03/2020,1,,,,,,,
Peru,PER,Lima,15/03/2020,58,,,,,,,
Peru,PER,Piura,15/03/2020,2,,,,,,,
Peru,PER,,15/03/2020,71,,,1751,,,,
Peru,PER,Ancash,16/03/2020,1,,,,,,,
Peru,PER,Arequipa,16/03/2020,2,,,,,,,
Peru,PER,Callao,16/03/2020,3,,,,,,,
Peru,PER,Cusco,16/03/2020,1,,,,,,,
Peru,PER,Huanuco,16/03/2020,2,,,,,,,
Peru,PER,Ica,16/03/2020,1,,,,,,,
Peru,PER,La Libertad,16/03/2020,1,,,,,,,
Peru,PER,Lambayeque,16/03/2020,3,,,,,,,
Peru,PER,Lima,16/03/2020,70,,1,,,,,
Peru,PER,Piura,16/03/2020,2,,,,,,,
Peru,PER,,16/03/2020,86,,1,2229,,,,
Peru,PER,Ancash,17/03/2020,1,,,,,,,
Peru,PER,Arequipa,17/03/2020,2,,,,,,,
Peru,PER,Callao,17/03/2020,4,,,,,,,
Peru,PER,Cusco,17/03/2020,1,,,,,,,
Peru,PER,Huanuco,17/03/2020,2,,,,,,,
Peru,PER,Ica,17/03/2020,1,,,,,,,
Peru,PER,La Libertad,17/03/2020,1,,,,,,,
Peru,PER,Lambayeque,17/03/2020,6,,,,,,,
Peru,PER,Lima,17/03/2020,96,,1,,,,,
Peru,PER,Loreto,17/03/2020,1,,,,,,,
Peru,PER,Piura,17/03/2020,2,,,,,,,
Peru,PER,,17/03/2020,117,,1,2680,,,,
Peru,PER,Ancash,18/03/2020,2,,,,,,,
Peru,PER,Arequipa,18/03/2020,2,,,,,,,
Peru,PER,Callao,18/03/2020,5,,,,,,,
Peru,PER,Cusco,18/03/2020,1,,,,,,,
Peru,PER,Huanuco,18/03/2020,2,,,,,,,
Peru,PER,Ica,18/03/2020,1,,,,,,,
Peru,PER,La Libertad,18/03/2020,2,,,,,,,
Peru,PER,Lambayeque,18/03/2020,6,,,,,,,
Peru,PER,Lima,18/03/2020,111,,1,,,,,
Peru,PER,Loreto,18/03/2020,10,,,,,,,
Peru,PER,Madre de Dios,18/03/2020,1,,,,,,,
